,Unnamed: 0,MLS#,Condo Name,Latitude,Longitude,NewLat,NewLong,AveLatDiff,AveLongDiff,Group#
0,0,C3532582,Group 1,-34.637512,-58.5047,-52.96826964686725,-74.39083117459269,1019.1436259412941,725.9333828429038,1
1,1,C3645784,Group 2,25.7662,-80.287751,39.402109175021295,-102.08876432199013,758.121960224179,1090.3116843754547,2
2,2,C3641311,Group 3,26.00695,-80.432361,39.770268150108286,-102.2726411403681,765.2055760435074,1090.023914189753,3
3,3,C3635835,Vista Heights,27.77768,-82.663351,51.07690344,-114.01476979999998,1295.3777206429918,1537.918475191361,4
4,4,C3576562,Group 5,29.003176,-81.232624,44.35214766532735,-103.29020434004732,853.3638891977427,1070.9787917108927,5
5,5,C3572334,Liberte,29.179834000000003,-82.139514,51.05101367,-114.0795002,1215.9821095178072,1545.5414169686405,6
6,6,C3613893,Highlands Of Valley Ridge,30.089667,-81.459688,51.09912987,-114.2546955,1168.0728413356153,1572.069142704031,7
7,7,C3539680,Green Brier On The Park,30.289775,-81.723905,46.31963663391695,-103.91488580889143,891.2196442529108,1063.6236929827237,8
8,8,C3617744,Green Brier On The Park,30.289775,-81.723905,46.31963663391695,-103.91488580889143,891.2196442529108,1063.6236929827237,8
9,9,C3596970,Group 9,30.801375,-84.244783,47.101984013582594,-107.12027289248891,906.2725117634748,1090.5019849834605,9
10,10,C3609706,Group 10,30.855889,-83.281929,47.1853477451211,-105.89596938593678,907.8764836545444,1077.464194240023,10
11,11,C3521391,Group 11,32.460007,-83.250113,49.63839214303839,-105.85551419712885,955.0746379260656,1058.445689337993,11
12,12,C3565863,Group 12,32.940449,-96.739518,50.373092181703996,-123.00777803235417,969.2107399051713,1222.4423339749992,12
13,13,C3625244,The Ravenwood,33.275578,-86.358583,51.04247486,-114.0934081,987.7943965245703,1285.3155005387716,13
14,14,C3606766,Group 14,33.769665,-117.812046,51.64114332473922,-149.80225561911004,993.6088606745992,1472.4351141158982,14
15,15,C3606772,Group 14,33.769665,-117.812046,51.64114332473922,-149.80225561911004,993.6088606745992,1472.4351141158982,14
16,16,C3551173,Riverview,34.228455,-85.173342,51.05315815,-114.1209111,935.4108162903634,1326.1110184090182,15
17,17,C3573301,Sandhurst Village,34.586368,-86.996088,51.05768377,-114.07633529999998,915.7633743922567,1235.7406767041753,6
18,18,C3598490,Group 16,34.794241,-82.30680699999998,53.20794228656155,-104.65606667595566,1023.7550819070143,1018.2732819298791,16
19,19,C3599979,Parke Place,35.084506,-106.655253,51.05185663,-114.0780578,887.7441910053996,337.62753699392016,6
20,20,C3555289,Group 17,35.088457,-80.890701,53.657862373847934,-102.85543694242442,1032.411834189048,997.2117324773824,17
21,21,C3503767,Group 18,36.051941,-80.21928199999998,55.13123841518837,-102.00170352482864,1060.760538255795,977.0518162540293,18
22,22,C3627086,Dorchestor Square,36.357723,-94.222309,51.03490266,-114.09512340000002,816.0139578213547,888.2141015165525,13
23,23,C3531258,Destiny,36.899983,-94.874018,51.03317638,-114.07101509999998,785.7697005712317,852.0582254826973,19
24,24,C3536192,Group 20,39.039136,-81.418785,59.69930757234301,-103.5269147500194,1148.6531312253392,952.3359106151185,20
25,25,C3654639,Group 21,39.581775,-84.310744,60.52912031619443,-107.20414467740716,1164.6192629162404,978.3063300213688,21
26,26,C3612149,Group 22,39.871112,-74.99238299999998,60.97157935409575,-95.35551337129145,1173.1324598022918,867.0110006017402,22
27,27,C3633321,Group 22,39.874601,-75.00013,60.97691479195277,-95.36536396054512,1173.2351170633244,867.0557927193184,22
28,28,C3625253,Group 22,39.874875,-74.992241,60.97733379739068,-95.35533281318199,1173.2431789978395,866.9615060145497,22
29,29,C3639167,Group 22,39.87514,-74.998979,60.97773903987624,-95.36390042262968,1173.250976124287,867.0356886084865,22
30,30,C3643369,Group 22,39.87527,-75.000076,60.977937838076684,-95.3652952976021,1173.2548011297129,867.0466612039324,22
31,31,C3551510,The Conservatory,40.439154,-104.703517,51.03872806,-114.0736773,589.3094300326336,396.3118301937966,19
32,32,C3588086,Group 23,40.570651,-74.12902,62.04132623373593,-94.25771625113887,1193.7150788122055,848.2156713656216,23
33,33,C3582597,Group 23,40.570765,-74.128911,62.041500564465586,-94.25757765371685,1193.7184330477346,848.2129760394275,23
34,34,C3616795,Group 24,40.59917100000001,-76.146408,62.08493950048354,-96.82289768308621,1194.5542261566184,870.8195454749672,24
35,35,C3631505,Group 24,40.599512,-76.144357,62.0854609634555,-96.82028976278684,1194.5642594400838,870.7917297332435,24
36,36,C3609920,Group 24,40.602454,-76.13761099999998,62.08995991965367,-96.81171198105127,1194.6508222552059,870.6763810501541,24
37,37,C3543213,Group 25,40.646381,-74.242313,62.157133831589896,-94.40177237716402,1195.9432915889363,848.53842426872,25
38,38,C3506607,Mountview Parc,40.654027,-96.714916,62.16882622421093,-122.97649570412143,1196.1682607542718,1103.5372797901853,26
39,39,C3546946,Group 27,40.661166,-74.297861,62.17974330385015,-94.4724036579002,1196.378312398442,848.981203405373,27
40,40,C3582595,Group 27,40.661389,-74.297242,62.18008431922482,-94.47161657712722,1196.3848737539067,848.9713066026811,27
41,41,C3560168,Group 27,40.66150800000001,-74.297635,62.18026629603909,-94.47211629076824,1196.3883751050275,848.9742536720023,27
42,42,C3654456,Group 27,40.662276,-74.295732,62.18144073463874,-94.46969655779422,1196.4109720601652,848.9427726277037,27
43,43,C3607001,Group 27,40.666196,-74.290048,62.18743526499114,-94.4624691472717,1196.5263106853433,848.8279259714561,27
44,44,C3594570,Group 27,40.667017,-74.288885,62.18869075208791,-94.46099035092445,1196.55046706577,848.8041853395966,27
45,45,C3525609,Group 27,40.669306,-74.28617,62.19219112963297,-94.45753813073296,1196.617816584401,848.7439959984358,27
46,46,C3549292,Group 27,40.669485,-74.285924,62.192464859462824,-94.45722533288134,1196.6230833226416,848.7389060531068,27
47,47,C3548161,Group 27,40.669632,-74.28613399999998,62.19268965435104,-94.45749235543758,1196.6274085210864,848.7394125502244,27
48,48,C3637337,Group 27,40.669733,-74.285575,62.19284410526064,-94.45678156682357,1196.6303802560722,848.7317611084376,27
